Rank	Token	No space  (nsp)	MTW  identifiers	First			Second				
6	στην										
7	ξέφρενη										
8	πορεία										
9	της										
10	χώρας										
11	προς										
12	τον										
13	τοίχο	nsp									
14	.										
											
1	Υπήρξε										
2	άντρας										
3	που										
4	αγάπησες										
5	πολύ										
6	και										
7	σ	nsp				SEL					
8	"'"										
9	την			1	OTH						
10	έφερε	nsp		1							
11	;										
											
1	Χάρη										
2	στην										
3	αγάπη										
4	και										
5	τη										
6	φροντίδα										
7	της										
8	συζύγου										
9	του										
10	Χαρίκλειας										
11	και										
12	του										
13	γιου										
14	τους										
15	Αριστείδη	nsp									
16	,										
17	ο										
18	Δημήτρης										
19	Μυταράς										
20	παίρνει			1	LVC						
21	κουράγιο	nsp		1							
22	,										
23	αν										
24	και										
25	πολλές										
26	φορές										
27	με										
28	δυσκολία										
29	τούς										
30	αναγνωρίζει	nsp									
31	.										
											
1	Χάσαμε			1	OTH						
2	την										
3	μάχη			1							
4	αυτή	nsp									
5	.										
